"","SiteID","Total_Vessels","Begin_Hour_loc","Begin_Date_loc","ves_yn","Weekday","Week","Month","Day_month","trans_inside","man_inside","total_inside"
"170","Cod Grounds",1,10,2019-04-24,"Y","Wednesday",17,4,24,NA,NA,NA
"171","Cod Grounds",1,11,2019-04-24,"Y","Wednesday",17,4,24,NA,NA,NA
"172","Cod Grounds",2,12,2019-04-24,"Y","Wednesday",17,4,24,NA,NA,NA
"173","Cod Grounds",2,13,2019-04-24,"Y","Wednesday",17,4,24,NA,NA,NA
"174","Cod Grounds",0,14,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"175","Cod Grounds",0,15,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"176","Cod Grounds",0,16,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"177","Cod Grounds",0,17,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"178","Cod Grounds",0,18,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"179","Cod Grounds",0,19,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"180","Cod Grounds",0,20,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"181","Cod Grounds",0,21,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"182","Cod Grounds",0,22,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"183","Cod Grounds",0,23,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"184","Cod Grounds",0,0,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"185","Cod Grounds",0,1,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"186","Cod Grounds",0,2,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"187","Cod Grounds",0,3,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"188","Cod Grounds",0,4,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"189","Cod Grounds",1,5,2019-04-25,"Y","Thursday",17,4,25,NA,NA,NA
"190","Cod Grounds",2,6,2019-04-25,"Y","Thursday",17,4,25,0,1,1
"191","Cod Grounds",1,7,2019-04-25,"Y","Thursday",17,4,25,NA,NA,NA
"192","Cod Grounds",2,8,2019-04-25,"Y","Thursday",17,4,25,NA,NA,NA
"193","Cod Grounds",2,9,2019-04-25,"Y","Thursday",17,4,25,NA,NA,NA
"194","Cod Grounds",1,10,2019-04-25,"Y","Thursday",17,4,25,NA,NA,NA
"195","Cod Grounds",1,11,2019-04-25,"Y","Thursday",17,4,25,NA,NA,NA
"196","Cod Grounds",1,12,2019-04-25,"Y","Thursday",17,4,25,NA,NA,NA
"197","Cod Grounds",2,13,2019-04-25,"Y","Thursday",17,4,25,1,0,1
"198","Cod Grounds",1,14,2019-04-25,"Y","Thursday",17,4,25,NA,NA,NA
"199","Cod Grounds",0,15,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"200","Cod Grounds",0,16,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"201","Cod Grounds",0,17,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"202","Cod Grounds",0,18,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"203","Cod Grounds",0,19,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"204","Cod Grounds",0,20,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"205","Cod Grounds",0,21,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"206","Cod Grounds",0,22,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"207","Cod Grounds",0,23,2019-04-25,"N","Thursday",17,4,25,NA,NA,NA
"208","Cod Grounds",0,0,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"209","Cod Grounds",0,1,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"210","Cod Grounds",0,2,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"211","Cod Grounds",0,3,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"212","Cod Grounds",0,4,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"213","Cod Grounds",0,5,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"214","Cod Grounds",2,6,2019-04-26,"Y","Friday",17,4,26,0,1,1
"215","Cod Grounds",2,7,2019-04-26,"Y","Friday",17,4,26,NA,NA,NA
"216","Cod Grounds",2,8,2019-04-26,"Y","Friday",17,4,26,NA,NA,NA
"217","Cod Grounds",1,9,2019-04-26,"Y","Friday",17,4,26,NA,NA,NA
"218","Cod Grounds",1,10,2019-04-26,"Y","Friday",17,4,26,NA,NA,NA
"219","Cod Grounds",1,11,2019-04-26,"Y","Friday",17,4,26,0,1,1
"220","Cod Grounds",0,12,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"221","Cod Grounds",0,13,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"222","Cod Grounds",0,14,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"223","Cod Grounds",0,15,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"224","Cod Grounds",0,16,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"225","Cod Grounds",0,17,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"226","Cod Grounds",0,18,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"227","Cod Grounds",0,19,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"228","Cod Grounds",0,20,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"229","Cod Grounds",0,21,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"230","Cod Grounds",0,22,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"231","Cod Grounds",0,23,2019-04-26,"N","Friday",17,4,26,NA,NA,NA
"232","Cod Grounds",0,0,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"233","Cod Grounds",0,1,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"234","Cod Grounds",0,2,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"235","Cod Grounds",0,3,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"236","Cod Grounds",0,4,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"237","Cod Grounds",0,5,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"238","Cod Grounds",0,6,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"239","Cod Grounds",0,7,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"240","Cod Grounds",0,8,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"241","Cod Grounds",0,9,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"242","Cod Grounds",0,10,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"243","Cod Grounds",0,11,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"244","Cod Grounds",0,12,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"245","Cod Grounds",0,13,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"246","Cod Grounds",1,14,2019-04-27,"Y","Saturday",17,4,27,NA,NA,NA
"247","Cod Grounds",0,15,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"248","Cod Grounds",0,16,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"249","Cod Grounds",0,17,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"250","Cod Grounds",0,18,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"251","Cod Grounds",0,19,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"252","Cod Grounds",0,20,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"253","Cod Grounds",0,21,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"254","Cod Grounds",0,22,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"255","Cod Grounds",0,23,2019-04-27,"N","Saturday",17,4,27,NA,NA,NA
"256","Cod Grounds",0,0,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"257","Cod Grounds",0,1,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"258","Cod Grounds",0,2,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"259","Cod Grounds",0,3,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"260","Cod Grounds",0,4,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"261","Cod Grounds",0,5,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"262","Cod Grounds",1,6,2019-04-28,"Y","Sunday",17,4,28,NA,NA,NA
"263","Cod Grounds",1,7,2019-04-28,"Y","Sunday",17,4,28,NA,NA,NA
"264","Cod Grounds",1,8,2019-04-28,"Y","Sunday",17,4,28,NA,NA,NA
"265","Cod Grounds",1,9,2019-04-28,"Y","Sunday",17,4,28,NA,NA,NA
"266","Cod Grounds",1,10,2019-04-28,"Y","Sunday",17,4,28,NA,NA,NA
"267","Cod Grounds",0,11,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
