,Filename,Date,Selection,RMS,PeakFreq,PeakLev,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll
95,5458.210528052836_sel03_S1.wav,2.10528E+11,S1,108.7680404,204,80.58284608,1,97,278,0,833,0,0,0.258666667,0,NA,0.080298013
96,5458.210528052836_sel05_S2.wav,2.10528E+11,S2,107.4285233,255,79.0191928,1,92,338,0,773,0,0,0.213953488,0,NA,0.076475478
97,5458.210528052836_sel07_S3.wav,2.10528E+11,S3,116.7517973,1457,98.35482707,1,56,0,63,366,0,556,1,0.146853147,0,0.245360825
98,5458.210528052836_sel08_S4.wav,2.10528E+11,S4,109.987384,406,81.05070462,1,98,261,0,850,0,0,0.272980501,0,NA,0.081058726
99,5458.210531052808_sel01_S2.wav,2.10531E+11,S2,119.8069998,214,99.85289533,1,47,0,72,305,0,518,1,0.190981432,0,0.280660377
100,5458.210531052808_sel03_S6.wav,2.10531E+11,S6,106.2014802,2647,78.91272059,1,91,343,0,768,0,0,0.209677419,0,NA,0.075707155
101,5458.210531052808_sel04_S7.wav,2.10531E+11,S7,106.2728496,1639,70.94223093,1,44,754,0,357,0,0,0.055137845,0,NA,0.038095238
102,5458.210531052808_sel05_S4.wav,2.10531E+11,S4,108.1225687,4855,76.26336527,1,80,461,0,650,0,0,0.147874307,0,NA,0.067170445
103,5458.210601052757_sel04_S2.wav,2.10601E+11,S2,106.947713,255,73.57947964,1,64,599,0,512,0,0,0.09653092,0,NA,0.054468085
104,5458.210601052757_sel07_S3.wav,2.10601E+11,S3,112.0136695,242,88.95973264,1,113,50,0,831,0,230,0.693251534,0,0,0.113682093
105,5458.210601052757_sel08_S4.wav,2.10601E+11,S4,114.095063,199,86.04093203,1,109,112,0,973,0,26,0.49321267,0,0,0.091289782
106,5458.210601052757_sel10_S5.wav,2.10601E+11,S5,113.2422211,126,101.9133965,1,37,0,83,231,0,464,1,0.26433121,0,0.341880342
107,5458.210601052757_sel14_S17.wav,2.10601E+11,S17,109.0972742,131,87.98671557,1,112,69,0,878,0,164,0.61878453,0,0,0.105760151
108,5458.210601052757_sel14_S6.wav,2.10601E+11,S6,117.8745684,358,98.56972356,1,55,0,64,357,0,550,1,0.152019002,0,0.25
109,5458.210601052757_sel18_S7.wav,2.10601E+11,S7,107.7341604,246,81.14364531,1,99,257,0,854,0,0,0.278089888,0,NA,0.081818182
110,5458.210601052757_sel19_S9.wav,2.10601E+11,S9,123.5157395,156,102.3552298,1,35,0,85,216,0,453,1,0.282392027,0,0.357142857
111,5458.210601052757_sel20_S8.wav,2.10601E+11,S8,109.7069528,54,80.41196649,1,96,284,0,827,0,0,0.252631579,0,NA,0.07953604
112,5458.210601052757_sel22_S12.wav,2.10601E+11,S12,111.4196179,2627,85.02663296,1,107,138,0,973,0,0,0.436734694,0,NA,0.087848933
113,5458.210601052757_sel29_S18.wav,2.10601E+11,S18,108.2684491,138,84.30487122,1,106,157,0,954,0,0,0.403041825,0,NA,0.087099425
114,5458.210602052747_sel01_S1.wav,2.10602E+11,S1,109.1489237,197,90.95367886,1,115,16,0,737,0,358,0.877862595,0,0,0.132488479
115,5458.210602052747_sel04_S2.wav,2.10602E+11,S2,111.5279074,136,90.20572664,1,114,28,0,772,0,311,0.802816901,0,0,0.124726477
