"","Begin_Date","Begin_Hour","Transit","Notes","SiteID"
"350",2020-02-22,13,0,NA,"MRW"
"351",2020-02-22,14,0,NA,"MRW"
"352",2020-02-22,15,0,NA,"MRW"
"353",2020-02-22,16,0,NA,"MRW"
"354",2020-02-22,17,0,NA,"MRW"
"355",2020-02-22,18,0,NA,"MRW"
"356",2020-02-22,19,0,NA,"MRW"
"357",2020-02-22,20,0,NA,"MRW"
"358",2020-02-22,21,0,NA,"MRW"
"359",2020-02-22,22,0,NA,"MRW"
"360",2020-02-22,23,0,NA,"MRW"
"361",2020-02-23,0,0,NA,"MRW"
"362",2020-02-23,1,0,NA,"MRW"
"363",2020-02-23,2,0,NA,"MRW"
"364",2020-02-23,3,0,NA,"MRW"
"365",2020-02-23,4,0,NA,"MRW"
"366",2020-02-23,5,0,NA,"MRW"
"367",2020-02-23,6,0,NA,"MRW"
"368",2020-02-23,7,0,NA,"MRW"
"369",2020-02-23,8,0,NA,"MRW"
"370",2020-02-23,9,0,NA,"MRW"
"371",2020-02-23,10,0,NA,"MRW"
"372",2020-02-23,11,0,NA,"MRW"
"373",2020-02-23,12,0,NA,"MRW"
"374",2020-02-23,13,0,NA,"MRW"
"375",2020-02-23,14,0,NA,"MRW"
"376",2020-02-23,15,0,NA,"MRW"
"377",2020-02-23,16,0,NA,"MRW"
"378",2020-02-23,17,0,NA,"MRW"
"379",2020-02-23,18,0,NA,"MRW"
"380",2020-02-23,19,0,NA,"MRW"
"381",2020-02-23,20,0,NA,"MRW"
"382",2020-02-23,21,0,NA,"MRW"
"383",2020-02-23,22,0,NA,"MRW"
"384",2020-02-23,23,0,NA,"MRW"
"385",2020-02-24,0,0,NA,"MRW"
"386",2020-02-24,1,0,NA,"MRW"
"387",2020-02-24,2,0,NA,"MRW"
"388",2020-02-24,3,0,NA,"MRW"
"389",2020-02-24,4,0,NA,"MRW"
"390",2020-02-24,5,0,NA,"MRW"
"391",2020-02-24,6,0,NA,"MRW"
"392",2020-02-24,7,0,NA,"MRW"
"393",2020-02-24,8,0,NA,"MRW"
"394",2020-02-24,9,0,NA,"MRW"
"395",2020-02-24,10,0,NA,"MRW"
"396",2020-02-24,11,0,NA,"MRW"
"397",2020-02-24,12,0,NA,"MRW"
"398",2020-02-24,13,0,NA,"MRW"
"399",2020-02-24,14,0,NA,"MRW"
"400",2020-02-24,15,0,NA,"MRW"
"401",2020-02-24,16,0,NA,"MRW"
"402",2020-02-24,17,0,NA,"MRW"
"403",2020-02-24,18,0,NA,"MRW"
"404",2020-02-24,19,0,NA,"MRW"
"405",2020-02-24,20,0,NA,"MRW"
"406",2020-02-24,21,0,NA,"MRW"
"407",2020-02-24,22,0,NA,"MRW"
"408",2020-02-24,23,0,NA,"MRW"
"409",2020-02-25,0,0,NA,"MRW"
"410",2020-02-25,1,0,NA,"MRW"
"411",2020-02-25,2,0,NA,"MRW"
"412",2020-02-25,3,0,NA,"MRW"
"413",2020-02-25,4,0,NA,"MRW"
"414",2020-02-25,5,0,NA,"MRW"
"415",2020-02-25,6,0,NA,"MRW"
"416",2020-02-25,7,0,NA,"MRW"
"417",2020-02-25,8,0,NA,"MRW"
"418",2020-02-25,9,0,NA,"MRW"
"419",2020-02-25,10,0,NA,"MRW"
"420",2020-02-25,11,0,NA,"MRW"
"421",2020-02-25,12,0,NA,"MRW"
"422",2020-02-25,13,0,NA,"MRW"
"423",2020-02-25,14,0,NA,"MRW"
"424",2020-02-25,15,0,NA,"MRW"
"425",2020-02-25,16,0,NA,"MRW"
"426",2020-02-25,17,0,NA,"MRW"
"427",2020-02-25,18,0,NA,"MRW"
"428",2020-02-25,19,0,NA,"MRW"
"429",2020-02-25,20,0,NA,"MRW"
"430",2020-02-25,21,0,NA,"MRW"
"431",2020-02-25,22,0,NA,"MRW"
"432",2020-02-25,23,0,NA,"MRW"
"433",2020-02-26,0,0,NA,"MRW"
"434",2020-02-26,1,0,NA,"MRW"
"435",2020-02-26,2,0,NA,"MRW"
"436",2020-02-26,3,0,NA,"MRW"
"437",2020-02-26,4,0,NA,"MRW"
"438",2020-02-26,5,0,NA,"MRW"
"439",2020-02-26,6,0,NA,"MRW"
"440",2020-02-26,7,0,NA,"MRW"
"441",2020-02-26,8,0,NA,"MRW"
"442",2020-02-26,9,0,NA,"MRW"
"443",2020-02-26,10,0,NA,"MRW"
"444",2020-02-26,11,0,NA,"MRW"
"445",2020-02-26,12,0,NA,"MRW"
"446",2020-02-26,13,0,NA,"MRW"
"447",2020-02-26,14,0,NA,"MRW"
"448",2020-02-26,15,0,NA,"MRW"
"449",2020-02-26,16,0,NA,"MRW"
"450",2020-02-26,17,0,NA,"MRW"
"451",2020-02-26,18,0,NA,"MRW"
"452",2020-02-26,19,0,NA,"MRW"
"453",2020-02-26,20,0,NA,"MRW"
"454",2020-02-26,21,0,NA,"MRW"
"455",2020-02-26,22,0,NA,"MRW"
"456",2020-02-26,23,0,NA,"MRW"
"457",2020-02-27,0,0,NA,"MRW"
"458",2020-02-27,1,0,NA,"MRW"
"459",2020-02-27,2,0,NA,"MRW"
"460",2020-02-27,3,0,NA,"MRW"
"461",2020-02-27,4,0,NA,"MRW"
"462",2020-02-27,5,0,NA,"MRW"
"463",2020-02-27,6,0,NA,"MRW"
"464",2020-02-27,7,0,NA,"MRW"
"465",2020-02-27,8,0,NA,"MRW"
"466",2020-02-27,9,0,NA,"MRW"
"467",2020-02-27,10,0,NA,"MRW"
"468",2020-02-27,11,0,NA,"MRW"
"469",2020-02-27,12,0,NA,"MRW"
"470",2020-02-27,13,0,NA,"MRW"
"471",2020-02-27,14,0,NA,"MRW"
"472",2020-02-27,15,0,NA,"MRW"
"473",2020-02-27,16,0,NA,"MRW"
"474",2020-02-27,17,0,NA,"MRW"
"475",2020-02-27,18,0,NA,"MRW"
"476",2020-02-27,19,0,NA,"MRW"
"477",2020-02-27,20,0,NA,"MRW"
"478",2020-02-27,21,0,NA,"MRW"
"479",2020-02-27,22,0,NA,"MRW"
"480",2020-02-27,23,0,NA,"MRW"
"481",2020-02-28,0,0,NA,"MRW"
"482",2020-02-28,1,0,NA,"MRW"
"483",2020-02-28,2,0,NA,"MRW"
"484",2020-02-28,3,0,NA,"MRW"
"485",2020-02-28,4,0,NA,"MRW"
"486",2020-02-28,5,0,NA,"MRW"
"487",2020-02-28,6,0,NA,"MRW"
"488",2020-02-28,7,0,NA,"MRW"
"489",2020-02-28,8,0,NA,"MRW"
"490",2020-02-28,9,0,NA,"MRW"
"491",2020-02-28,10,0,NA,"MRW"
