"","Begin_Date","Begin_Hour","Maneuver","Transit","UK","Notes","SiteID"
"371",2019-06-26,10,0,0,NA,NA,"EP"
"372",2019-06-26,11,0,0,NA,NA,"EP"
"373",2019-06-26,12,0,0,NA,NA,"EP"
"374",2019-06-26,13,0,0,NA,NA,"EP"
"375",2019-06-26,14,0,0,NA,NA,"EP"
"376",2019-06-26,15,0,0,NA,NA,"EP"
"377",2019-06-26,16,0,0,NA,NA,"EP"
"378",2019-06-26,17,0,1,0,NA,"EP"
"379",2019-06-26,18,0,0,NA,NA,"EP"
"380",2019-06-26,19,0,0,NA,NA,"EP"
"381",2019-06-26,20,0,0,NA,NA,"EP"
"382",2019-06-26,21,0,0,NA,NA,"EP"
"383",2019-06-26,22,0,0,NA,NA,"EP"
"384",2019-06-26,23,0,1,0,NA,"EP"
"385",2019-06-27,0,0,0,NA,NA,"EP"
"386",2019-06-27,1,0,0,NA,NA,"EP"
"387",2019-06-27,2,0,0,NA,NA,"EP"
"388",2019-06-27,3,0,0,NA,NA,"EP"
"389",2019-06-27,4,0,0,NA,NA,"EP"
"390",2019-06-27,5,0,0,NA,NA,"EP"
"391",2019-06-27,6,0,0,NA,NA,"EP"
"392",2019-06-27,7,0,0,NA,NA,"EP"
"393",2019-06-27,8,0,0,NA,NA,"EP"
"394",2019-06-27,9,0,0,NA,NA,"EP"
"395",2019-06-27,10,0,0,NA,NA,"EP"
"396",2019-06-27,11,0,0,NA,NA,"EP"
"397",2019-06-27,12,0,0,NA,NA,"EP"
"398",2019-06-27,13,0,0,NA,NA,"EP"
"399",2019-06-27,14,0,0,NA,NA,"EP"
"400",2019-06-27,15,0,0,NA,NA,"EP"
"401",2019-06-27,16,0,0,NA,NA,"EP"
"402",2019-06-27,17,0,0,NA,NA,"EP"
"403",2019-06-27,18,0,0,NA,NA,"EP"
"404",2019-06-27,19,0,0,NA,NA,"EP"
"405",2019-06-27,20,0,0,NA,NA,"EP"
"406",2019-06-27,21,0,0,NA,NA,"EP"
"407",2019-06-27,22,0,0,NA,NA,"EP"
"408",2019-06-27,23,0,0,NA,NA,"EP"
"409",2019-06-28,0,0,0,NA,NA,"EP"
"410",2019-06-28,1,0,0,NA,NA,"EP"
"411",2019-06-28,2,0,0,NA,NA,"EP"
"412",2019-06-28,3,0,0,NA,NA,"EP"
"413",2019-06-28,4,0,0,NA,NA,"EP"
"414",2019-06-28,5,0,0,NA,NA,"EP"
"415",2019-06-28,6,0,0,NA,NA,"EP"
"416",2019-06-28,7,0,0,NA,NA,"EP"
"417",2019-06-28,8,0,1,0,NA,"EP"
"418",2019-06-28,9,0,0,NA,NA,"EP"
"419",2019-06-28,10,0,0,NA,NA,"EP"
"420",2019-06-28,11,0,0,NA,NA,"EP"
"421",2019-06-28,12,0,1,0,NA,"EP"
