"","Filename","Date","Selection","used","pins_sm","pins_med","pins_lg","pins_ovrll","Dep_ID"
"109","805355546.180721024142_sel29_S11.wav","180721000000","S11",1,1,0.0789473684210526,NA,0.551282051282051,"CGMP_201807_CG"
"110","805355546.180721024142_sel35_S12.wav","180721000000","S12",1,1,0.0666666666666667,NA,0.551282051282051,"CGMP_201807_CG"
"111","805355546.180721024142_sel36_S13.wav","180721000000","S13",1,0.511811023622047,0,NA,0.481481481481481,"CGMP_201807_CG"
"112","805355546.180721024142_sel42_S14.wav","180721000000","S14",1,0.646017699115044,0,NA,0.510489510489511,"CGMP_201807_CG"
"113","805355546.180721024142_sel48_S17.wav","180721000000","S17",1,0.726415094339623,0,NA,0.523809523809524,"CGMP_201807_CG"
"114","805355546.180721024142_sel10_S3.wav","180721000000","S3",1,1,0.285714285714286,NA,0.565217391304348,"CGMP_201807_CG"
"115","805355546.180721024142_sel12_S6.wav","180721000000","S6",1,1,0.230769230769231,NA,0.559748427672956,"CGMP_201807_CG"
"116","805355546.180721024142_sel22_S7.wav","180721000000","S7",1,0.8,0,NA,0.533333333333333,"CGMP_201807_CG"
"117","805355546.180723024124_sel01_S1.wav","180723000000","S1",1,0.712962962962963,0,NA,0.523809523809524,"CGMP_201807_CG"
"118","805355546.180723024124_sel08_S2.wav","180723000000","S2",1,1,0.125,NA,0.554140127388535,"CGMP_201807_CG"
"119","805355546.180723024124_sel30_S22.wav","180723000000","S22",1,0.977011494252874,0,NA,0.548387096774194,"CGMP_201807_CG"
"120","805355546.180723024124_sel35_S23.wav","180723000000","S23",1,1,0.375,NA,0.570552147239264,"CGMP_201807_CG"
"121","805355546.180723024124_sel39_S27.wav","180723000000","S27",1,0.666666666666667,0,NA,0.513888888888889,"CGMP_201807_CG"
"122","805355546.180723024124_sel15_S6.wav","180723000000","S6",1,1,0.357798165137615,NA,0.567901234567901,"CGMP_201807_CG"
"123","805355546.180723024124_sel17_S7.wav","180723000000","S7",1,1,0.345794392523364,NA,0.567901234567901,"CGMP_201807_CG"
"124","805355546.180725024106_sel07_S1.wav","180725000000","S1",1,1,0.394736842105263,0,0.574074074074074,"CGMP_201807_CG"
"125","805355546.180725024106_sel31_S11.wav","180725000000","S11",1,0.808080808080808,0,NA,0.533333333333333,"CGMP_201807_CG"
"126","805355546.180725024106_sel38_S17.wav","180725000000","S17",1,0.977011494252874,0,NA,0.548387096774194,"CGMP_201807_CG"
"127","805355546.180725024106_sel45_S19.wav","180725000000","S19",1,0.891304347826087,0,NA,0.539473684210526,"CGMP_201807_CG"
"128","805355546.180725024106_sel54_S22.wav","180725000000","S22",1,0.943820224719101,0,NA,0.545454545454545,"CGMP_201807_CG"
"129","805355546.180725024106_sel13_S3.wav","180725000000","S3",1,1,0.195402298850575,NA,0.559748427672956,"CGMP_201807_CG"
"130","805355546.180725024106_sel73_S30.wav","180725000000","S30",1,1,0.385964912280702,NA,0.570552147239264,"CGMP_201807_CG"
"131","805355546.180725024106_sel89_S33.wav","180725000000","S33",1,1,0.213483146067416,NA,0.559748427672956,"CGMP_201807_CG"
"132","805355546.180725024106_sel99_S36.wav","180725000000","S36",1,1,0,NA,0.548387096774194,"CGMP_201807_CG"
"133","805355546.180725024106_sel103_S38.wav","180725000000","S38",1,1,0.135802469135802,NA,0.556962025316456,"CGMP_201807_CG"
"134","805355546.180725024106_sel110_S39.wav","180725000000","S39",1,0.626086956521739,0,NA,0.507042253521127,"CGMP_201807_CG"
"135","805355546.180725024106_sel120_S44.wav","180725000000","S44",1,0.675675675675676,0,NA,0.517241379310345,"CGMP_201807_CG"
"136","805355546.180725024106_sel23_S6.wav","180725000000","S6",1,0.902173913043478,0,NA,0.542483660130719,"CGMP_201807_CG"
"137","805355546.180725024106_sel25_S8.wav","180725000000","S8",1,0.620689655172414,0,NA,0.507042253521127,"CGMP_201807_CG"
"138","805355546.180727024048_sel08_S1.wav","180727000000","S1",1,0.726415094339623,0,NA,0.523809523809524,"CGMP_201807_CG"
"139","805355546.180727024048_sel34_S13.wav","180727000000","S13",1,0.84375,0,NA,0.536423841059603,"CGMP_201807_CG"
"140","805355546.180727024048_sel39_S15.wav","180727000000","S15",1,0.757281553398058,0,NA,0.527027027027027,"CGMP_201807_CG"
"141","805355546.180727024048_sel65_S30.wav","180727000000","S30",1,0.976744186046512,0,NA,0.545454545454545,"CGMP_201807_CG"
"142","805355546.180727024048_sel18_S5.wav","180727000000","S5",1,0.912087912087912,0,NA,0.542483660130719,"CGMP_201807_CG"
"143","805355546.180729024026_sel04_S2.wav","180729000000","S2",1,1,0.0540540540540541,NA,0.551282051282051,"CGMP_201807_CG"
"144","805355546.180729024026_sel13_S3.wav","180729000000","S3",1,0.902173913043478,0,NA,0.542483660130719,"CGMP_201807_CG"
"145","805355546.180729024026_sel20_S5.wav","180729000000","S5",1,0.634782608695652,0,NA,0.510489510489511,"CGMP_201807_CG"
"146","805355546.180731024008_sel28_S10.wav","180731000000","S10",1,0.922222222222222,0,NA,0.542483660130719,"CGMP_201807_CG"
"147","805355546.180731024008_sel31_S12.wav","180731000000","S12",1,1,0.320388349514563,NA,0.565217391304348,"CGMP_201807_CG"
"148","805355546.180731024008_sel38_S14.wav","180731000000","S14",1,1,0.25531914893617,NA,0.5625,"CGMP_201807_CG"
"149","805355546.180731024008_sel40_S16.wav","180731000000","S16",1,0.610169491525424,0,NA,0.507042253521127,"CGMP_201807_CG"
"150","805355546.180731024008_sel49_S22.wav","180731000000","S22",1,1,0.0277777777777778,NA,0.548387096774194,"CGMP_201807_CG"
"151","805355546.180731024008_sel52_S28.wav","180731000000","S28",1,0.852631578947368,0,NA,0.536423841059603,"CGMP_201807_CG"
"152","805355546.180731024008_sel55_S32.wav","180731000000","S32",1,0.675675675675676,0,NA,0.517241379310345,"CGMP_201807_CG"
"153","805355546.180731024008_sel11_S5.wav","180731000000","S5",1,0.712962962962963,0,NA,0.523809523809524,"CGMP_201807_CG"
"154","805355546.180731024008_sel16_S6.wav","180731000000","S6",1,0.774509803921569,0,NA,0.530201342281879,"CGMP_201807_CG"
"155","805355546.180802023946_sel25_S10.wav","180802000000","S10",1,1,0.102564102564103,NA,0.554140127388535,"CGMP_201807_CG"
"156","805355546.180802023946_sel27_S11.wav","180802000000","S11",1,0.872340425531915,0,NA,0.539473684210526,"CGMP_201807_CG"
"157","805355546.180802023946_sel30_S13.wav","180802000000","S13",1,0.640350877192982,0,NA,0.510489510489511,"CGMP_201807_CG"
"158","805355546.180802023946_sel34_S14.wav","180802000000","S14",1,1,0.113924050632911,NA,0.554140127388535,"CGMP_201807_CG"
"159","805355546.180802023946_sel38_S15.wav","180802000000","S15",1,0.912087912087912,0,NA,0.542483660130719,"CGMP_201807_CG"
"160","805355546.180802023946_sel50_S18.wav","180802000000","S18",1,1,0.102564102564103,NA,0.554140127388535,"CGMP_201807_CG"
"161","805355546.180802023946_sel61_S23.wav","180802000000","S23",1,0.578512396694215,0,NA,0.5,"CGMP_201807_CG"
"162","805355546.180802023946_sel62_S24.wav","180802000000","S24",1,0.912087912087912,0,NA,0.542483660130719,"CGMP_201807_CG"
"163","805355546.180802023946_sel67_S25.wav","180802000000","S25",1,1,0.146341463414634,NA,0.556962025316456,"CGMP_201807_CG"
"164","805355546.180802023946_sel70_S28.wav","180802000000","S28",1,0.634782608695652,0,NA,0.510489510489511,"CGMP_201807_CG"
"165","805355546.180802023946_sel13_S4.wav","180802000000","S4",1,1,0.278350515463918,NA,0.5625,"CGMP_201807_CG"
"166","805355546.180705024418_sel05_S1.wav","180705000000","S1",1,1,0.747252747252747,0,0.805084745762712,"CGMP_201807_CG"
"167","805355546.180705024418_sel09_S13.wav","180705000000","S13",1,1,0.239130434782609,NA,0.5625,"CGMP_201807_CG"
"168","805355546.180707024358_sel01_S4.wav","180707000000","S4",1,1,0.974358974358974,0,0.979591836734694,"CGMP_201807_CG"
"169","805355546.180707024358_sel10_S6.wav","180707000000","S6",1,1,0.467889908256881,0,0.618421052631579,"CGMP_201807_CG"
"170","805355546.180711024316_sel08_S12.wav","180711000000","S12",1,1,0.0277777777777778,NA,0.551282051282051,"CGMP_201807_CG"
"171","805355546.180711024316_sel14_S14.wav","180711000000","S14",1,1,0.415929203539823,0,0.584905660377358,"CGMP_201807_CG"
"172","805355546.180711024316_sel18_S20.wav","180711000000","S20",1,0.954545454545455,0,NA,0.545454545454545,"CGMP_201807_CG"
"173","805355546.180711024316_sel01_S5.wav","180711000000","S5",1,1,0.306930693069307,NA,0.565217391304348,"CGMP_201807_CG"
"174","805355546.180713024252_sel03_S7.wav","180713000000","S7",1,1,0.423423423423423,0,0.592356687898089,"CGMP_201807_CG"
"175","805355546.180715024234_sel10_S10.wav","180715000000","S10",1,1,0.0789473684210526,NA,0.551282051282051,"CGMP_201807_CG"
"176","805355546.180715024234_sel26_S25.wav","180715000000","S25",1,1,0.306930693069307,NA,0.565217391304348,"CGMP_201807_CG"
"177","805355546.180715024234_sel29_S27.wav","180715000000","S27",1,0.733333333333333,0,NA,0.523809523809524,"CGMP_201807_CG"
"178","805355546.180715024234_sel44_S32.wav","180715000000","S32",1,1,0.375,NA,0.570552147239264,"CGMP_201807_CG"
"179","805355546.180715024234_sel53_S35.wav","180715000000","S35",1,1,0.278350515463918,NA,0.5625,"CGMP_201807_CG"
"180","805355546.180715024234_sel55_S38.wav","180715000000","S38",1,1,0.204545454545455,NA,0.559748427672956,"CGMP_201807_CG"
"181","805355546.180715024234_sel01_S6.wav","180715000000","S6",1,1,0.230769230769231,NA,0.559748427672956,"CGMP_201807_CG"
"182","805355546.180717024218_sel13_S17.wav","180717000000","S17",1,1,0.0666666666666667,NA,0.551282051282051,"CGMP_201807_CG"
"183","805355546.180717024218_sel21_S18.wav","180717000000","S18",1,1,0.857142857142857,0,0.888888888888889,"CGMP_201807_CG"
"184","805355546.180717024218_sel04_S2.wav","180717000000","S2",1,1,0.166666666666667,NA,0.556962025316456,"CGMP_201807_CG"
"185","805355546.180717024218_sel25_S22.wav","180717000000","S22",1,0.933333333333333,0,NA,0.545454545454545,"CGMP_201807_CG"
"186","805355546.180719024201_sel04_S1.wav","180719000000","S1",1,1,0.509433962264151,0,0.643835616438356,"CGMP_201807_CG"
"187","805355546.180719024201_sel26_S13.wav","180719000000","S13",1,1,0.357798165137615,NA,0.567901234567901,"CGMP_201807_CG"
"188","805355546.180719024201_sel37_S14.wav","180719000000","S14",1,1,0.616161616161616,0,0.714285714285714,"CGMP_201807_CG"
"189","805355546.180719024201_sel18_S3.wav","180719000000","S3",1,1,0.320388349514563,NA,0.565217391304348,"CGMP_201807_CG"
"190","805355546.180721024142_sel11_S10.wav","180721000000","S10",1,1,0.0140845070422535,NA,0.548387096774194,"CGMP_201807_CG"
"191","805355546.180721024142_sel06_S5.wav","180721000000","S5",1,0.96551724137931,0,NA,0.545454545454545,"CGMP_201807_CG"
"192","805355546.180723024124_sel09_S14.wav","180723000000","S14",1,1,0.0410958904109589,NA,0.551282051282051,"CGMP_201807_CG"
"193","805355546.180723024124_sel21_S17.wav","180723000000","S17",1,1,0.345794392523364,NA,0.567901234567901,"CGMP_201807_CG"
"194","805355546.180723024124_sel24_S24.wav","180723000000","S24",1,1,0.166666666666667,NA,0.556962025316456,"CGMP_201807_CG"
"195","805355546.180723024124_sel01_S5.wav","180723000000","S5",1,1,0.351851851851852,NA,0.567901234567901,"CGMP_201807_CG"
"196","805355546.180723024124_sel08_S8.wav","180723000000","S8",1,1,0.263157894736842,NA,0.5625,"CGMP_201807_CG"
"197","805355546.180725024106_sel15_S13.wav","180725000000","S13",1,1,0.102564102564103,NA,0.554140127388535,"CGMP_201807_CG"
"198","805355546.180725024106_sel31_S14.wav","180725000000","S14",1,1,0.230769230769231,NA,0.559748427672956,"CGMP_201807_CG"
"199","805355546.180725024106_sel32_S20.wav","180725000000","S20",1,1,0.0140845070422535,NA,0.548387096774194,"CGMP_201807_CG"
"200","805355546.180725024106_sel38_S37.wav","180725000000","S37",1,1,0.313725490196078,NA,0.565217391304348,"CGMP_201807_CG"
"201","805355546.180725024106_sel13_S4.wav","180725000000","S4",1,1,0.380530973451327,NA,0.570552147239264,"CGMP_201807_CG"
"202","805355546.180725024106_sel41_S46.wav","180725000000","S46",1,0.792079207920792,0,NA,0.533333333333333,"CGMP_201807_CG"
"203","805355546.180727024048_sel02_S20.wav","180727000000","S20",1,1,0.333333333333333,NA,0.567901234567901,"CGMP_201807_CG"
"204","805355546.180727024048_sel08_S33.wav","180727000000","S33",1,1,0.125,NA,0.554140127388535,"CGMP_201807_CG"
