"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Notes" "Begin_file_date"
3 "Spectrogram 1" 1 38651.251787537 40374.382797795 59.3 9317.5 "2018/8/16" "12:25:47.2518" "12:54:30.3828" 1723.131 "CPA" "" 2018-08-16
4 "Spectrogram 1" 1 47561.827334899 49143.633082051 652.8 2819 "2018/8/16" "14:54:17.8273" "15:20:39.6331" 1581.8057 "CTransit" "on/off" 2018-08-16
5 "Spectrogram 1" 1 52254.039569728 53074.830935385 652.8 2819 "2018/8/16" "16:12:29.0396" "16:26:10.8309" 820.7914 "DTransit" "" 2018-08-16
6 "Spectrogram 1" 1 69646.730229167 70521.766192862 593.5 2789.3 "2018/8/16" "21:02:20.7302" "21:16:55.7662" 875.036 "DTransit" "" 2018-08-16
7 "Spectrogram 1" 1 86167.729824072 86386.024553307 237.4 3798.2 "2018/8/17" "1:37:41.7298" "1:41:20.0246" 218.2947 "DTransit" "Possible M" 2018-08-16
1 "Spectrogram 1" 1 5057.107895717 5283.841719924 591.7 3372.8 "2018/8/17" "3:05:45.1079" "3:09:31.8417" 226.7338 "DTransit" "" 2018-08-17
2 "Spectrogram 1" 1 15298.057550709 17186.244588779 503 1390.5 "2018/8/17" "5:56:26.0576" "6:27:54.2446" 1888.187 "DTransit" "on/off" 2018-08-17
3 "Spectrogram 1" 1 29457.093514405 29532.201419381 798.8 1331.4 "2018/8/17" "9:52:23.0935" "9:53:38.2014" 75.1079 "DTransit" "" 2018-08-17
4 "Spectrogram 1" 1 50081.884875433 52061.999979167 236.7 5591.7 "2018/8/17" "15:36:07.8849" "16:09:07.0000" 1980.1151 "CTransit" "" 2018-08-17
5 "Spectrogram 1" 1 60528.143877931 64183.996392569 0 8579.9 "2018/8/17" "18:30:14.1439" "19:31:09.9964" 3655.8525 "Maneuver+CPA" "M - CPA, on/off" 2018-08-17
1 "Spectrogram 1" 1 18704.920862277 18841.179839312 90.1 3213.2 "2018/8/18" "6:50:24.9209" "6:52:41.1798" 136.259 "DTransit" "" 2018-08-18
2 "Spectrogram 1" 1 19008.071925077 19199.697839678 0 5405.4 "2018/8/18" "6:55:28.0719" "6:58:39.6978" 191.6259 "DTransit" "" 2018-08-18
3 "Spectrogram 1" 1 21861.76976707 21972.40286654 961 2192.2 "2018/8/18" "7:43:00.7698" "7:44:50.4029" 110.6331 "DTransit" "" 2018-08-18
4 "Spectrogram 1" 1 22844.561144301 23016.489200706 840.8 2612.6 "2018/8/18" "7:59:22.5611" "8:02:14.4892" 171.9281 "CTransit" "" 2018-08-18
5 "Spectrogram 1" 1 23320.345318145 23947.625896083 360.4 6576.6 "2018/8/18" "8:07:18.3453" "8:17:45.6259" 627.2806 "CTransit" "" 2018-08-18
6 "Spectrogram 1" 1 24712.172645184 24863.956819028 0 3784.861 "2018/8/18" "8:30:30.1726" "8:33:02.9568" 151.7842 "DTransit" "" 2018-08-18
7 "Spectrogram 1" 1 25337.726604616 25685.899259526 0 7867.9 "2018/8/18" "8:40:56.7266" "8:46:44.8993" 348.1727 "Maneuver+CPA" "M-CPA" 2018-08-18
8 "Spectrogram 1" 1 25694.748176459 26406.330921663 118 4660.8 "2018/8/18" "8:46:53.7482" "8:58:44.3309" 711.5827 "DTransit" "on/off" 2018-08-18
9 "Spectrogram 1" 1 26640.482004846 26755.446020317 177 5280.2 "2018/8/18" "9:02:38.4820" "9:04:33.4460" 114.964 "DTransit" "" 2018-08-18
10 "Spectrogram 1" 1 27157.417253064 27393.517963912 0 3628.3 "2018/8/18" "9:11:15.4173" "9:15:11.5180" 236.1007 "DTransit" "" 2018-08-18
11 "Spectrogram 1" 1 27816.064733846 27971.784157641 0 4395.3 "2018/8/18" "9:22:14.0647" "9:24:50.7842" 155.7194 "DTransit" "possibly same as 11" 2018-08-18
12 "Spectrogram 1" 1 28414.61869964 29672.553161466 0 8967.6 "2018/8/18" "9:32:12.6187" "9:53:10.5532" 1257.9345 "Maneuver+CPA" "on/off" 2018-08-18
13 "Spectrogram 1" 1 30448.805746969 30841.726602301 678.5 2035.4 "2018/8/18" "10:06:07.8057" "10:12:40.7266" 392.9209 "DTransit" "" 2018-08-18
14 "Spectrogram 1" 1 31211.755392703 31306.143870987 1002.9 3156.3 "2018/8/18" "10:18:50.7554" "10:20:24.1439" 94.3885 "DTransit" "" 2018-08-18
15 "Spectrogram 1" 1 31444.978406042 31885.381281841 29.5 2182.9 "2018/8/18" "10:22:43.9784" "10:30:03.3813" 440.4029 "DTransit" "" 2018-08-18
16 "Spectrogram 1" 1 31610.446024364 31712.589916184 118 4454.3 "2018/8/18" "10:25:28.4460" "10:27:10.5899" 102.1439 "CTransit" "" 2018-08-18
17 "Spectrogram 1" 1 34261.285293704 34408.47480782 99.602 6312.7 "2018/8/18" "11:09:39.2853" "11:12:06.4748" 147.1895 "Maneuver+TransitA" "" 2018-08-18
18 "Spectrogram 1" 1 36951.841719924 37087.798557471 177 1976.4 "2018/8/18" "11:54:30.8417" "11:56:46.7986" 135.9568 "DTransit" "" 2018-08-18
19 "Spectrogram 1" 1 37578.54675836 37703.953451977 1209.4 1976.4 "2018/8/18" "12:04:56.5468" "12:07:02.9535" 125.4067 "DTransit" "" 2018-08-18
20 "Spectrogram 1" 1 38034.187049644 38046.705033806 1150.4 2005.9 "2018/8/18" "12:12:32.1870" "12:12:45.7050" 12.518 "DTransit" "" 2018-08-18
21 "Spectrogram 1" 1 38210.371424818 38552.415208561 88.5 2470.12 "2018/8/18" "12:15:28.3714" "12:21:10.4152" 342.0438 "DTransit" "on/off" 2018-08-18
22 "Spectrogram 1" 1 41194.213989948 41658.885506661 1386.4 2684.4 "2018/8/18" "13:05:12.2140" "13:12:57.8855" 464.6715 "DTransit" "on/off" 2018-08-18
23 "Spectrogram 1" 1 57545.438834865 57948.223636588 118 7138.6 "2018/8/18" "17:37:42.4388" "17:44:25.2236" 402.7848 "Maneuver+CPA" "" 2018-08-18
24 "Spectrogram 1" 1 58431.513447202 58510.3201455 0 6076.7 "2018/8/18" "17:52:29.5134" "17:53:47.3201" 78.8067 "CPA" "" 2018-08-18
25 "Spectrogram 1" 1 60129.169066497 60251.025186251 0 9174 "2018/8/18" "18:20:46.1691" "18:22:48.0252" 121.8561 "Maneuver+CPA" "M - CPA, on/off" 2018-08-18
1 "Spectrogram 1" 1 31484.233570134 31781.299266682 568.4 5873.7 "2018/8/19" "10:19:17.2336" "10:24:14.2993" 297.0657 "Maneuver+TransitA" NA 2018-08-19
2 "Spectrogram 1" 1 35768.642332451 35898.846696943 842.1 7242.1 "2018/8/19" "11:30:41.6423" "11:32:51.8467" 130.2044 "Maneuver+TransitA" NA 2018-08-19
1 "Spectrogram 1" 1 25180.935243588 25568.820128281 443.8 5295.9 "2018/8/22" "7:02:10.9352" "7:08:38.8201" 387.8849 "DTransit" NA 2018-08-22
2 "Spectrogram 1" 1 30979.25897935 31192.338110129 710.1 6982.2 "2018/8/22" "8:38:48.2590" "8:42:21.3381" 213.0791 "Maneuver+TransitA" NA 2018-08-22
3 "Spectrogram 1" 1 33737.719410488 33954.971202655 177.5 7396.4 "2018/8/22" "9:24:47.7194" "9:28:24.9712" 217.2518 "DTransit" NA 2018-08-22
4 "Spectrogram 1" 1 43252.266178108 43343.330934519 1094.7 1834.3 "2018/8/22" "12:03:20.2662" "12:04:51.3309" 91.0648 "DTransit" NA 2018-08-22
5 "Spectrogram 1" 1 43502.597121886 43677.69064555 1538.5 7130.2 "2018/8/22" "12:07:30.5971" "12:10:25.6906" 175.0935 "DTransit" NA 2018-08-22
