Site_ID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
EP,6/21/2019,Friday,11,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,12,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,13,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,14,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,15,0,0,0,0,1,0,0,0,0,0,0,
EP,6/21/2019,Friday,16,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,17,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,18,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,19,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,20,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,21,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,22,0,0,0,0,2,0,0,0,0,0,0,
EP,6/21/2019,Friday,23,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,2,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,3,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,4,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,5,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,6,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,7,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,8,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,9,0,0,0,0,1,0,0,0,0,0,0,
EP,6/22/2019,Saturday,10,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,11,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,12,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,13,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,14,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,15,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,16,0,0,0,0,1,0,0,0,0,0,0,
EP,6/22/2019,Saturday,17,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,18,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,19,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,20,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,21,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,22,0,0,0,0,0,0,0,0,0,0,0,
EP,6/22/2019,Saturday,23,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,1,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,2,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,3,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,4,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,5,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,6,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,7,0,0,0,0,1,0,0,0,0,0,0,
EP,6/23/2019,Sunday,8,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,9,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,10,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,11,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,12,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,13,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,14,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,15,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,16,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,17,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,18,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,19,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,20,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,21,0,0,0,0,0,0,0,0,0,0,0,
EP,6/23/2019,Sunday,22,0,0,0,0,0,0,0,0,0,0,0,
