SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes,ExtraNotes
Cod Grounds,4/25/2019,Thursday,19,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/25/2019,Thursday,20,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/25/2019,Thursday,21,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/25/2019,Thursday,22,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,23,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/26/2019,Friday,0,0,0,0,0,0,0,0,0,0,0,0,1,," LF p, sound more mechanical;  LF p"
Cod Grounds,4/26/2019,Friday,1,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,2,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,3,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/26/2019,Friday,4,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,5,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/26/2019,Friday,6,0,0,1,1,0,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,7,0,0,0,0,2,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,8,0,0,0,0,2,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,9,0,0,0,1,0,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,10,0,0,1,0,0,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,11,0,0,0,1,0,1,0,0,0,0,0,1,,
Cod Grounds,4/26/2019,Friday,12,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,13,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,14,0,0,0,0,0,0,0,0,0,0,0,1,," LF p, short"
Cod Grounds,4/26/2019,Friday,15,0,0,0,0,0,0,0,0,0,0,0,1,,fish p very fast;  LF p
Cod Grounds,4/26/2019,Friday,16,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,17,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/26/2019,Friday,18,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/26/2019,Friday,19,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/26/2019,Friday,20,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/26/2019,Friday,21,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,22,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/26/2019,Friday,23,0,0,0,0,0,0,0,0,0,0,0,1,, LF p;  possibly dolphin
Cod Grounds,4/27/2019,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,, possible dolphin;  LF p
Cod Grounds,4/27/2019,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/27/2019,Saturday,2,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/27/2019,Saturday,3,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/27/2019,Saturday,4,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/27/2019,Saturday,5,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/27/2019,Saturday,6,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/27/2019,Saturday,7,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/27/2019,Saturday,8,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/27/2019,Saturday,9,0,0,0,0,0,0,0,0,1,0,0,1,minke star wars! more later in file but faint, LF p; minke sw kind of muddled; minke UK not quite sw or boing; minke UK sounds like p from sw sound; minke sw 
Cod Grounds,4/27/2019,Saturday,10,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/27/2019,Saturday,11,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/27/2019,Saturday,12,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/27/2019,Saturday,13,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/27/2019,Saturday,14,1,0,0,0,0,1,0,0,0,0,0,1,, LF p
