SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes,ExtraNotes
NGN,9/29/2019,Sunday,5,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,6,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,7,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,8,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/29/2019,Sunday,9,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,10,0,0,0,0,1,1,0,1,0,0,0,1,"TB, ~11:00 - 15:30",fish p LOUD
NGN,9/29/2019,Sunday,11,0,0,0,0,0,0,0,1,0,0,1,1,,
NGN,9/29/2019,Sunday,12,0,0,0,0,0,0,0,1,0,0,1,1,,
NGN,9/29/2019,Sunday,13,0,0,0,0,0,0,0,1,0,0,0,1,,fish p **recheck- headphones dead
NGN,9/29/2019,Sunday,14,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,15,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,16,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,17,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,18,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,19,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,20,0,0,0,0,0,0,0,1,0,1,0,1,,fish p LOUD
NGN,9/29/2019,Sunday,21,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulse; fish p LOUD;  LF pulse
NGN,9/29/2019,Sunday,22,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/29/2019,Sunday,23,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,0,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,1,,,,,,,0,1,0,0,0,1,, LF pulse;  LF groan
NGN,9/30/2019,Monday,2,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/30/2019,Monday,3,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,4,,,,,,,0,1,0,0,0,1,,mn social ?
NGN,9/30/2019,Monday,5,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,6,,,,,,,0,1,0,1,0,1,,dol w faint;  LF pulses
NGN,9/30/2019,Monday,7,,,,,,,0,1,0,0,0,1,, LF pulses; mn social ?
NGN,9/30/2019,Monday,8,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,9,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,10,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,11,,,,,,,0,1,0,0,1,1,,
NGN,9/30/2019,Monday,12,,,,,,,0,1,0,0,1,1,,
NGN,9/30/2019,Monday,13,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,14,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,15,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,16,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,17,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,18,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/30/2019,Monday,19,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,20,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/30/2019,Monday,21,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,22,,,,,,,0,1,0,0,0,1,,
NGN,9/30/2019,Monday,23,,,,,,,0,1,0,0,0,1,,
NGN,10/1/2019,Tuesday,0,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,10/1/2019,Tuesday,1,0,0,0,0,0,0,0,1,0,0,0,1,,mn song faint;  LF pulses
NGN,10/1/2019,Tuesday,2,0,0,0,0,0,0,0,1,0,0,0,1,,mn song faint
NGN,10/1/2019,Tuesday,3,0,0,0,0,0,0,0,1,0,0,0,1,,mn song faint
NGN,10/1/2019,Tuesday,4,0,0,0,0,0,0,0,1,0,1,0,1,, LF pulses
NGN,10/1/2019,Tuesday,5,0,0,1,0,0,1,0,1,0,1,0,1,"faint TA,  ~05:09 - 05:34", LF pulses
NGN,10/1/2019,Tuesday,6,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses; mn song faint
NGN,10/1/2019,Tuesday,7,0,0,0,0,0,0,0,1,0,0,0,1,,
