SiteID,Begin_Date,Weekday,Begin_hour,TR,M,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
JNE,1/15/22,Saturday,23,0,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,0,0,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,1,0,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,2,0,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,3,0,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,4,1,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,5,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,6,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,7,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,8,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,9,1,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,10,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,11,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,12,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,13,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,14,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,15,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,16,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,17,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,18,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,19,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,20,,1,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,21,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,22,,0,0,0,0,0,0,0,0,
JNE,1/16/22,Sunday,23,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,0,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,1,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,2,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,3,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,4,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,5,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,6,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,7,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,8,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,9,,1,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,10,,1,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,11,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,12,,1,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,13,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,14,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,15,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,16,,0,0,0,0,0,0,0,0,
