"","Begin_Date","Begin_Hour","Maneuver","Not_Assigned","Transit","Notes"
"554",2021-06-02,1,1,1,0,"; added on review"
"555",2021-06-02,2,1,3,0,"added on review; added on review; added on review; added on review"
"556",2021-06-02,3,1,1,0,"added on review; added on review"
"557",2021-06-02,4,1,2,1,"; added on review; added on review; added on review"
"558",2021-06-02,5,0,1,0,NA
"559",2021-06-02,6,1,2,0,"; added on review; added on review"
"560",2021-06-02,7,2,1,0,"; ; added on review"
"561",2021-06-02,8,1,1,0,"; added on review"
"562",2021-06-02,9,0,NA,0,NA
"563",2021-06-02,10,0,NA,0,NA
"564",2021-06-02,11,0,NA,0,NA
"565",2021-06-02,12,0,NA,0,NA
"566",2021-06-02,13,0,NA,0,NA
"567",2021-06-02,14,0,NA,0,NA
"568",2021-06-02,15,0,NA,0,NA
"569",2021-06-02,16,0,NA,0,NA
"570",2021-06-02,17,0,NA,0,NA
"571",2021-06-02,18,0,NA,0,NA
"572",2021-06-02,19,0,NA,0,NA
"573",2021-06-02,20,0,NA,0,NA
"574",2021-06-02,21,0,NA,0,NA
"575",2021-06-02,22,0,1,0,NA
"576",2021-06-02,23,0,1,0,NA
"577",2021-06-03,0,1,1,0,NA
"578",2021-06-03,1,0,NA,0,NA
"579",2021-06-03,2,1,0,1,"; added on review"
"580",2021-06-03,3,0,3,0,"; added on review; added on review"
"581",2021-06-03,4,0,NA,0,NA
"582",2021-06-03,5,0,3,0,"; sound clip; added on review"
"583",2021-06-03,6,0,2,0,"; added on review"
"584",2021-06-03,7,0,1,0,NA
"585",2021-06-03,8,1,0,1,NA
"586",2021-06-03,9,2,0,0,"M at 9:35:45; added on review"
"587",2021-06-03,10,0,NA,0,NA
"588",2021-06-03,11,0,NA,0,NA
"589",2021-06-03,12,0,NA,0,NA
"590",2021-06-03,13,0,NA,0,NA
"591",2021-06-03,14,0,NA,0,NA
"592",2021-06-03,15,0,NA,0,NA
"593",2021-06-03,16,0,NA,0,NA
"594",2021-06-03,17,0,NA,0,NA
"595",2021-06-03,18,0,NA,0,NA
"596",2021-06-03,19,0,NA,0,NA
"597",2021-06-03,20,0,NA,0,NA
"598",2021-06-03,21,0,NA,0,NA
"599",2021-06-03,22,0,1,0,NA
"600",2021-06-03,23,0,1,0,NA
"601",2021-06-04,0,0,NA,0,NA
"602",2021-06-04,1,0,NA,0,NA
"603",2021-06-04,2,1,0,0,NA
"604",2021-06-04,3,0,NA,0,NA
"605",2021-06-04,4,1,0,0,NA
"606",2021-06-04,5,0,NA,0,NA
"607",2021-06-04,6,0,2,0,NA
"608",2021-06-04,7,0,1,0,NA
"609",2021-06-04,8,0,NA,0,NA
"610",2021-06-04,9,0,NA,0,NA
"611",2021-06-04,10,0,NA,0,NA
"612",2021-06-04,11,0,NA,0,NA
"613",2021-06-04,12,0,NA,0,NA
"614",2021-06-04,13,0,1,0,NA
"615",2021-06-04,14,0,NA,0,NA
"616",2021-06-04,15,0,NA,0,NA
"617",2021-06-04,16,0,NA,0,NA
"618",2021-06-04,17,0,NA,0,NA
