network,npz_id,Site_ID,Dep,Weekday,median_prop,qt25,qt75,min_perc,max_perc
South-west,SWCMP,SWS,SWC_202201_SWS,M,0.125,0.11458333333333333,0.16666666666666666,0.041666666666666664,0.2916666666666667
South-west,SWCMP,SWS,SWC_202201_SWS,T,0.16666666666666666,0.10416666666666666,0.20833333333333334,0.041666666666666664,0.25
South-west,SWCMP,SWS,SWC_202201_SWS,W,0.125,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667
South-west,SWCMP,SWS,SWC_202201_SWS,R,0.16666666666666666,0.125,0.22916666666666669,0.08333333333333333,0.3333333333333333
South-west,SWCMP,SWS,SWC_202201_SWS,F,0.125,0.11458333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667
South-west,SWCMP,SWS,SWC_202201_SWS,Sa,0.20833333333333334,0.11458333333333333,0.2916666666666667,0.08333333333333333,0.4583333333333333
South-west,SWCMP,SWS,SWC_202201_SWS,Su,0.14583333333333331,0.08333333333333333,0.17708333333333334,0.041666666666666664,0.2916666666666667
South-west,TRMP,TRE,TWOROCKS_202105_TRE,M,0.125,0.041666666666666664,0.22916666666666669,0.041666666666666664,0.4583333333333333
South-west,TRMP,TRE,TWOROCKS_202105_TRE,T,0.25,0.08333333333333333,0.375,0.041666666666666664,0.5
South-west,TRMP,TRE,TWOROCKS_202105_TRE,W,0.16666666666666666,0.041666666666666664,0.39583333333333337,0.041666666666666664,0.5416666666666666
South-west,TRMP,TRE,TWOROCKS_202105_TRE,R,0.2916666666666667,0.125,0.4895833333333333,0.041666666666666664,0.5416666666666666
South-west,TRMP,TRE,TWOROCKS_202105_TRE,F,0.4166666666666667,0.3333333333333333,0.4583333333333333,0.125,0.5416666666666666
South-west,TRMP,TRE,TWOROCKS_202105_TRE,Sa,0.3333333333333333,0.1875,0.5,0.041666666666666664,0.7083333333333334
South-west,TRMP,TRE,TWOROCKS_202105_TRE,Su,0.16666666666666666,0.10416666666666666,0.33333333333333337,0.041666666666666664,0.4166666666666667
South-west,TRMP,TRW,TWOROCKS_202105_TRW,M,0.08333333333333333,0.041666666666666664,0.15625,0.041666666666666664,0.375
South-west,TRMP,TRW,TWOROCKS_202105_TRW,T,0.10416666666666666,0.041666666666666664,0.19791666666666669,0.041666666666666664,0.4583333333333333
South-west,TRMP,TRW,TWOROCKS_202105_TRW,W,0.14583333333333331,0.041666666666666664,0.22916666666666666,0.041666666666666664,0.4583333333333333
South-west,TRMP,TRW,TWOROCKS_202105_TRW,R,0.3333333333333333,0.08333333333333333,0.5,0.041666666666666664,0.5833333333333334
South-west,TRMP,TRW,TWOROCKS_202105_TRW,F,0.2916666666666667,0.14583333333333331,0.39583333333333337,0.041666666666666664,0.5416666666666666
South-west,TRMP,TRW,TWOROCKS_202105_TRW,Sa,0.16666666666666666,0.125,0.3333333333333333,0.041666666666666664,0.7083333333333334
South-west,TRMP,TRW,TWOROCKS_202105_TRW,Su,0.10416666666666666,0.07291666666666667,0.13541666666666666,0.041666666666666664,0.5
South-west,NA,NA,MURAT_202002_MRE,M,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRE,T,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRE,W,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRE,R,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRE,Su,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,M,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,T,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,W,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,R,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,Sa,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,Su,0,0,0,0,0
