Site_ID,ves_yn,network,npz_id,Dep,Date_week,n_hours,name,Perc_per_hour
EP,Y,Temperate East,SIMP,SIMP_201808_EP,2025-09-16,5,freq,0.06944444444444445
EP,Y,Temperate East,SIMP,SIMP_201812_EP,2025-01-08,34,freq,0.20238095238095238
EP,Y,Temperate East,SIMP,SIMP_201812_EP,2025-01-15,55,freq,0.3273809523809524
EP,Y,Temperate East,SIMP,SIMP_201812_EP,2025-01-22,18,freq,0.375
EP,Y,Temperate East,SIMP,SIMP_201812_EP,2025-12-16,6,freq,0.05
EP,Y,Temperate East,SIMP,SIMP_201812_EP,2025-12-23,11,freq,0.06547619047619048
EP,Y,Temperate East,SIMP,SIMP_201812_EP,2025-12-30,32,freq,0.19047619047619047
EP,Y,Temperate East,SIMP,SIMP_201906_EP,2025-06-17,37,freq,0.2569444444444444
EP,Y,Temperate East,SIMP,SIMP_201906_EP,2025-06-24,11,freq,0.06547619047619048
EP,Y,Temperate East,SIMP,SIMP_201906_EP,2025-07-01,14,freq,0.08333333333333333
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-01-15,78,freq,0.6964285714285714
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-01-22,106,freq,0.6309523809523809
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-01-29,131,freq,0.7797619047619048
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-02-05,134,freq,0.7976190476190477
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-02-12,142,freq,0.8452380952380952
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-02-19,137,freq,0.8154761904761905
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-02-26,158,freq,0.9404761904761905
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-03-04,136,freq,0.8095238095238095
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-03-11,126,freq,0.75
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-03-18,141,freq,0.8392857142857143
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-03-25,152,freq,0.9047619047619048
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-04-01,144,freq,0.8571428571428571
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-04-08,168,freq,1
GEO,N,South-west,GMP,GEOGRAPHE_202201_GEO,2025-04-15,32,freq,1
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-01-15,34,freq,0.30357142857142855
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-01-22,62,freq,0.36904761904761907
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-01-29,37,freq,0.22023809523809523
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-02-05,34,freq,0.20238095238095238
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-02-12,26,freq,0.15476190476190477
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-02-19,31,freq,0.18452380952380953
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-02-26,10,freq,0.05952380952380952
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-03-04,32,freq,0.19047619047619047
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-03-11,42,freq,0.25
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-03-18,27,freq,0.16071428571428573
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-03-25,16,freq,0.09523809523809523
GEO,Y,South-west,GMP,GEOGRAPHE_202201_GEO,2025-04-01,24,freq,0.14285714285714285
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-01-08,97,freq,0.8584070796460177
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-01-15,132,freq,0.7857142857142857
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-01-22,128,freq,0.7619047619047619
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-01-29,139,freq,0.8273809523809523
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-02-05,139,freq,0.8273809523809523
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-02-12,150,freq,0.8928571428571429
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-02-19,142,freq,0.8452380952380952
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-02-26,153,freq,0.9107142857142857
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-03-04,153,freq,0.9107142857142857
JNE,N,South-west,JMP,JURIEN_202201_JNE,2025-03-11,93,freq,0.9029126213592233
