network,npz_id,Site_ID,Dep,Week,Date_week,Date_noyr,n_days,Total_ves_dep,Total_inside_ves_dep,Total_inside_ves_small
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2000-10-25,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2000-10-26,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2000-10-27,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2000-10-28,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2000-10-29,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2000-10-30,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2000-10-31,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2000-11-01,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2000-11-02,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2000-11-03,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2000-11-04,1,2,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2000-11-05,1,2,0,2
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2000-11-06,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2000-11-07,1,2,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2000-11-08,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2000-11-09,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2000-11-10,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2000-11-11,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2000-11-12,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2000-11-13,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2000-11-14,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2000-11-15,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2000-11-16,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2000-11-17,1,1,1,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,47,2025-11-25,2000-11-18,1,0,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2000-09-25,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2000-09-26,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2000-09-27,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2000-09-28,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2000-09-29,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2000-09-30,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2000-10-01,1,2,1,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2000-10-02,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2000-10-03,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2000-10-04,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2000-10-05,1,1,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2000-10-06,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2000-10-07,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2000-10-08,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2000-10-09,1,0,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2000-10-10,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2000-10-11,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2000-10-12,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2000-10-13,1,1,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2000-10-14,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2000-10-15,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2000-10-16,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2000-10-17,1,6,1,6
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2000-10-18,1,3,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2000-10-19,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2000-10-20,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2000-10-21,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2000-10-22,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2000-10-23,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2000-10-24,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2000-10-25,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2000-10-26,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2000-10-27,1,3,0,3
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2000-10-28,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2000-10-29,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2000-10-30,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2000-10-31,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2000-11-01,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2000-11-02,1,1,0,1
