network,npz_id,Dep_ID,Dep,Date_week,Weekday,Begin_Date_loc,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-05,W,2020-09-30,5,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-12,F,2020-10-09,10,0,1,0,0,0,1
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-12,M,2020-10-05,0,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-12,Sa,2020-10-10,5,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-12,Su,2020-10-11,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-12,Th,2020-10-08,5,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-12,T,2020-10-06,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-12,W,2020-10-07,5,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-19,F,2020-10-16,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-19,M,2020-10-12,8,0,1,0,0,0,1
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-19,Sa,2020-10-17,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-19,Su,2020-10-18,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-19,Th,2020-10-15,7,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-19,T,2020-10-13,2,0,1,0,0,0,1
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-19,W,2020-10-14,6,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-26,F,2020-10-23,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-26,M,2020-10-19,3,1,1,0,0,1,1
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-26,Sa,2020-10-24,4,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-26,Su,2020-10-25,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-26,Th,2020-10-22,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-26,T,2020-10-20,4,0,1,0,0,0,1
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-26,W,2020-10-21,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-02,F,2020-10-30,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-02,M,2020-10-26,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-02,Sa,2020-10-31,3,1,1,0,0,1,1
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-02,Su,2020-11-01,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-02,Th,2020-10-29,5,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-02,T,2020-10-27,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-02,W,2020-10-28,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-09,M,2020-11-02,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-09,T,2020-11-03,6,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-11-09,W,2020-11-04,2,0,0,0,0,0,0
