network.x,npz_id.x,Site_ID.x,Dep,Begin_Hour_loc,mean_diel,mean_diel_ins,mean_diel_ins_sm,sd_lower,sd_upper,sd_lower_ins,sd_upper_ins,sd_lower_ins_sm,sd_upper_ins_sm
Northwest,NMP,NGS,NINGALOO_201909_NGS,15,-0.0470679012345679,-0.0023148148148148147,-0.03626543209876543,-0.1278795956831002,0.03374379321396441,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.03589581877944198
Northwest,NMP,NGS,NINGALOO_201909_NGS,16,-0.0470679012345679,-0.0023148148148148147,-0.036265432098765434,-0.1278795956831002,0.03374379321396441,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.03589581877944197
Northwest,NMP,NGS,NINGALOO_201909_NGS,17,-0.0470679012345679,-0.0023148148148148147,-0.036265432098765434,-0.1278795956831002,0.03374379321396441,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.03589581877944197
Northwest,NMP,NGS,NINGALOO_201909_NGS,18,0.7307098765432098,-0.0023148148148148147,0.6489197530864198,0.6498981820946775,0.8115215709917422,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.7210810039646272
Northwest,NMP,NGS,NINGALOO_201909_NGS,19,0.1381172839506173,-0.0023148148148148147,0.14891975308641975,0.057305589502084975,0.2189289783991496,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.22108100396462715
Northwest,NMP,NGS,NINGALOO_201909_NGS,20,-0.06558641975308642,-0.0023148148148148147,-0.05478395061728395,-0.14639811420161875,0.015225274695445892,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.017377300260923455
Northwest,NMP,NGS,NINGALOO_201909_NGS,21,-0.0470679012345679,-0.0023148148148148147,-0.036265432098765434,-0.1278795956831002,0.03374379321396441,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.03589581877944197
Northwest,NMP,NGS,NINGALOO_201909_NGS,22,-0.0470679012345679,-0.0023148148148148147,-0.036265432098765434,-0.1278795956831002,0.03374379321396441,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.03589581877944197
Northwest,NMP,NGS,NINGALOO_201909_NGS,23,-0.06558641975308642,-0.0023148148148148147,-0.05478395061728395,-0.14639811420161875,0.015225274695445892,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.017377300260923455
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,0,-0.25280898876404495,-4.681647940074906e-4,-0.012640449438202247,-0.3727075093877182,-0.13291046814037172,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,-0.005747406707840909
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,1,-0.2640449438202247,-4.681647940074906e-4,-0.012640449438202247,-0.38394346444389793,-0.14414642319655147,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,-0.005747406707840909
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,-0.2640449438202247,-4.681647940074906e-4,-0.012640449438202247,-0.38394346444389793,-0.14414642319655147,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,-0.005747406707840909
