Dep,Weekday,ves_yn,network,npz_id,Site_ID,Date_noyr,Begin_Date_loc,n_hours,name,Perc_per_hour
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-01-06,2019-01-06,13,freq,0.5416666666666666
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-01-13,2019-01-13,16,freq,0.6666666666666666
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-01-20,2019-01-20,13,freq,0.5416666666666666
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-01-27,2019-01-27,21,freq,0.875
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-02-03,2019-02-03,19,freq,0.7916666666666666
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-02-10,2019-02-10,22,freq,0.9166666666666666
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-02-17,2019-02-17,16,freq,0.6666666666666666
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-12-16,2018-12-16,23,freq,0.9583333333333334
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-12-23,2018-12-23,24,freq,1
CGMP_201812_CG,Su,N,Temperate East,CGMP,CG,2000-12-30,2018-12-30,21,freq,0.875
CGMP_201812_CG,Su,Y,Temperate East,CGMP,CG,2000-01-06,2019-01-06,11,freq,0.4583333333333333
CGMP_201812_CG,Su,Y,Temperate East,CGMP,CG,2000-01-13,2019-01-13,8,freq,0.3333333333333333
CGMP_201812_CG,Su,Y,Temperate East,CGMP,CG,2000-01-20,2019-01-20,11,freq,0.4583333333333333
CGMP_201812_CG,Su,Y,Temperate East,CGMP,CG,2000-01-27,2019-01-27,3,freq,0.125
CGMP_201812_CG,Su,Y,Temperate East,CGMP,CG,2000-02-03,2019-02-03,5,freq,0.20833333333333334
CGMP_201812_CG,Su,Y,Temperate East,CGMP,CG,2000-02-10,2019-02-10,2,freq,0.08333333333333333
CGMP_201812_CG,Su,Y,Temperate East,CGMP,CG,2000-02-17,2019-02-17,8,freq,0.3333333333333333
CGMP_201812_CG,Su,Y,Temperate East,CGMP,CG,2000-12-16,2018-12-16,1,freq,0.041666666666666664
CGMP_201812_CG,Su,Y,Temperate East,CGMP,CG,2000-12-30,2018-12-30,3,freq,0.125
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-01-03,2019-01-03,18,freq,0.75
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-01-10,2019-01-10,9,freq,0.375
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-01-17,2019-01-17,24,freq,1
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-01-24,2019-01-24,17,freq,0.7083333333333334
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-01-31,2019-01-31,23,freq,0.9583333333333334
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-02-07,2019-02-07,17,freq,0.7083333333333334
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-02-14,2019-02-14,23,freq,0.9583333333333334
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-12-13,2018-12-13,22,freq,0.9166666666666666
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-12-20,2018-12-20,15,freq,0.625
