network,npz_id,Site_ID,Dep,Week,Date_week,Begin_Date_loc,n_days,Total_ves_dep,Total_inside_ves_dep,Total_inside_ves_small
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2019-10-24,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2019-10-25,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2019-10-26,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2019-10-27,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2019-10-28,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2019-10-29,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2019-10-30,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2019-10-31,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2019-11-01,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2019-11-02,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,44,2025-11-04,2019-11-03,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2019-11-04,1,2,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2019-11-05,1,2,0,2
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2019-11-06,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2019-11-07,1,2,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2019-11-08,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2019-11-09,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,45,2025-11-11,2019-11-10,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2019-11-11,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2019-11-12,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2019-11-13,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2019-11-14,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2019-11-15,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2019-11-16,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,46,2025-11-18,2019-11-17,1,1,1,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,47,2025-11-25,2019-11-18,1,0,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2019-09-25,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2019-09-26,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2019-09-27,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2019-09-28,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,39,2025-09-30,2019-09-29,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2019-09-30,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2019-10-01,1,2,1,1
